id,key,value,type
7672390,hgv:national_network,"CDOT ""Highway Data Explorer""",source
7672569,highway,service,regular
7672569,service,alley,regular
7672569,tracktype,grade2,regular
7672569,cfcc,A73,tiger
7672569,county,"Weld, CO",tiger
7672569,reviewed,no,tiger
7672662,highway,residential,regular
7672662,cfcc,A41,tiger
7672662,tlid,188743658,tiger
7672662,county,"Weld, CO",tiger
7672662,source,tiger_import_dch_v0.6_20070809,tiger
7672662,reviewed,no,tiger
7672662,separated,no,tiger
7672662,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7672764,highway,residential,regular
7672764,cfcc,A41,tiger
7672764,tlid,188670451,tiger
7672764,county,"Weld, CO",tiger
7672764,source,tiger_import_dch_v0.6_20070809,tiger
7672764,reviewed,no,tiger
7672764,separated,no,tiger
7672764,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7672816,name,Crawford Avenue,regular
7672816,oneway,no,regular
7672816,highway,residential,regular
7672816,surface,asphalt,regular
7672816,city,Keenesburg,addr
7672816,state,CO,addr
7672816,city,Keenesburg,is_in
7672816,cfcc,A41,tiger
7672816,state,Colorado,is_in
7672816,county,"Weld, CO",tiger
7672816,reviewed,no,tiger
7672816,state_code,CO,is_in
7672900,access,private,regular
7672900,highway,service,regular
7672900,surface,unpaved,regular
7672900,cfcc,A74,tiger
7672900,county,"Weld, CO",tiger
7672900,reviewed,no,tiger
7672983,highway,residential,regular
7672983,cfcc,A41,tiger
7672983,tlid,188665525,tiger
7672983,county,"Weld, CO",tiger
7672983,source,tiger_import_dch_v0.6_20070809,tiger
7672983,reviewed,no,tiger
7672983,separated,no,tiger
7672983,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673085,highway,residential,regular
7673085,cfcc,A41,tiger
7673085,tlid,188671982,tiger
7673085,county,"Weld, CO",tiger
7673085,source,tiger_import_dch_v0.6_20070809,tiger
7673085,reviewed,no,tiger
7673085,separated,no,tiger
7673085,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7673224,highway,residential,regular
7673224,cfcc,A41,tiger
